"BIN Master Name","BIN Master Id","Area","Floor","BIN Type","Max Quantity","Stock","Type","Dynamic_Flag","Hazardous_Flag","Division","Material Name","Remarks"
"1003-0233","1-TM-BIN_MASTER-47","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1003-0235","1-TM-BIN_MASTER-48","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1003-0237","1-TM-BIN_MASTER-49","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1003-0241","1-TM-BIN_MASTER-50","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1003-0243","1-TM-BIN_MASTER-51","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1003-0245","1-TM-BIN_MASTER-52","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1003-0247","1-TM-BIN_MASTER-53","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0100","1-TM-BIN_MASTER-54","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0111","1-TM-BIN_MASTER-55","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0131","1-TM-BIN_MASTER-56","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0151","1-TM-BIN_MASTER-57","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0171","1-TM-BIN_MASTER-58","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0191","1-TM-BIN_MASTER-59","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"10040191(BOX)","1-TM-BIN_MASTER-60","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0200","1-TM-BIN_MASTER-61","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0211","1-TM-BIN_MASTER-62","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0231","1-TM-BIN_MASTER-63","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0251","1-TM-BIN_MASTER-64","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0271","1-TM-BIN_MASTER-65","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0291","1-TM-BIN_MASTER-66","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0300","1-TM-BIN_MASTER-67","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0301","1-TM-BIN_MASTER-68","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0305","1-TM-BIN_MASTER-69","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0311","1-TM-BIN_MASTER-70","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0315","1-TM-BIN_MASTER-71","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0316","1-TM-BIN_MASTER-72","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0321","1-TM-BIN_MASTER-73","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0325","1-TM-BIN_MASTER-74","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0331","1-TM-BIN_MASTER-75","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
