BIN Master Name,BIN Master Id,Area,Floor,BIN Type,Max Quantity,Stock,Type,Dynamic_Flag,Hazardous_Flag,Division,Material Name,Remarks
1004-0345,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0351,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0355,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0361,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0365,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0371,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0375,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0381,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0385,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0391,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0395,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0400,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0415,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0445,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-4151,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-4191,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-4231,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-4395,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-BOX),,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0100,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
10050100(Box),,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0111,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0131,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0151,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0191,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0200,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0201,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0211,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0213,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0221,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0231,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0251,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0271,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0291,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0300,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0301,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0303,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0305,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0307,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0311,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0313,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0315,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0317,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0321,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0323,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0325,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0327,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0331,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0333,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0335,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0337,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0341,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0343,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0345,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0347,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0351,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0353,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0355,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0357,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0361,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0363,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0365,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0367,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0373,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0375,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0377,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0381,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0383,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0385,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0387,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0391,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0393,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0395,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0397,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0400,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0401,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0405,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0411,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0415,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0421,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0425,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0431,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0435,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0441,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0445,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0451,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0461,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0465,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0475,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0481,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0485,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-0495,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-5100,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-5191,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-5325,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-5347,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-5363,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-5391,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1005-Box),,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0100,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0111,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0113,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0115,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0117,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0123,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0133,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0135,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0137,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0151,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0153,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0155,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0157,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0171,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0173,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0175,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0177,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0191,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0193,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0195,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0197,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0200,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0211,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0213,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0215,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0217,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0231,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0233,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0235,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0237,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0251,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0253,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0255,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0257,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0271,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0273,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0275,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0277,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0291,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0293,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0295,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0300,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0311,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0313,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0315,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0317,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0331,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0333,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0337,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0338,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0351,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
